,UID,Type,mean_depth,p90_depth,Class,Area,FloodDmg
5064,1000030127720.0,Residential,0.008,0.021,0,153,0.0
5065,1000002310386791.0,Residential,0.025,0.044,0,7,0.0
5066,1000030128111.0,Residential,0.004,0.008,0,75,0.0
5067,5000005101934340.0,Residential,0.012,0.03,0,469,0.0
5068,1000030127373.0,Residential,0.055,0.076,0,172,0.0
5069,1000030127312.0,Residential,0.005,0.008,0,69,0.0
5070,1000030127293.0,Residential,0.018,0.036,0,14,0.0
5071,5000005131655441.0,Residential,,,,4,52632.0
5072,1000030127314.0,Residential,0.018,0.046,0,75,0.0
5073,1000030127308.0,Residential,0.003,0.004,0,59,0.0
5074,1000030127376.0,Residential,0.016,0.046,0,204,0.0
5075,5000005131655424.0,Residential,0.007,0.008,0,4,0.0
5076,1000030127320.0,Residential,0.009,0.021,0,64,0.0
5077,1000030127303.0,Residential,0.063,0.182,0,75,0.0
5078,1000030127302.0,Residential,0.002,0.003,0,15,0.0
5079,1000030127444.0,Residential,0.002,0.003,0,159,0.0
5080,5000005131655426.0,Residential,0.038,0.205,0,927,0.0
5081,5000005202723616.0,Residential,0.029,0.08,0,107,0.0
5082,1000030127316.0,Residential,0.013,0.022,0,60,0.0
5083,1000030127326.0,Residential,0.069,0.097,0,3,0.0
5084,1000030127445.0,Residential,0.019,0.033,0,515,0.0
5085,1000030127443.0,Residential,,,,3,52632.0
5086,5000005207525894.0,Residential,0.008,0.017,0,4,0.0
