OBJECTID,os_topo_to,os_topo_ve,bha_proces,tileref,abshmin,absh2,abshmax,relh2,relhmax,bha_conf,layer,path,UID,area,Type
7113,osgb5000005202733770,1,00:00.0,NZ2065,109.6,115.5,117.9,5.9,8.3,99,buildings_nz2065,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2065.gdb|layername=buildings_nz2065,5.00E+15,42,Residential
7117,osgb1000030010203,4,00:00.0,NZ2065,102.7,109.4,114.4,6.7,11.7,99,buildings_nz2065,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2065.gdb|layername=buildings_nz2065,1.00E+12,114,Residential
7119,osgb1000030010185,3,00:00.0,NZ2065,106.2,112.9,116.1,6.7,9.9,99,buildings_nz2065,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2065.gdb|layername=buildings_nz2065,1.00E+12,80,Residential
7120,osgb1000030009498,2,00:00.0,NZ2065,101.4,104.3,105.6,2.9,4.2,99,buildings_nz2065,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2065.gdb|layername=buildings_nz2065,1.00E+12,17,Residential
7121,osgb1000030010853,2,00:00.0,NZ2065,105.9,111.5,114.2,5.6,8.3,99,buildings_nz2065,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2065.gdb|layername=buildings_nz2065,1.00E+12,52,Residential
7122,osgb1000030010940,2,00:00.0,NZ2065,102.2,109.1,112.3,6.9,10.1,99,buildings_nz2065,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2065.gdb|layername=buildings_nz2065,1.00E+12,70,Residential
7127,osgb1000030010369,2,00:00.0,NZ2065,105.5,108.2,108.7,2.7,3.2,99,buildings_nz2065,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2065.gdb|layername=buildings_nz2065,1.00E+12,12,Residential
7128,osgb1000030010685,2,00:00.0,NZ2065,100.6,106.7,110.5,6.1,9.9,99,buildings_nz2065,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2065.gdb|layername=buildings_nz2065,1.00E+12,76,Residential
7129,osgb1000030010960,2,00:00.0,NZ2065,100.5,105.8,111.2,5.3,10.7,99,buildings_nz2065,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2065.gdb|layername=buildings_nz2065,1.00E+12,63,Residential
7133,osgb1000038612697,2,00:00.0,NZ2065,115.5,121.9,123.9,6.4,8.4,99,buildings_nz2065,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2065.gdb|layername=buildings_nz2065,1.00E+12,38,Residential
