UID,area,Type
1.00E+12,81,Offices
1.00E+12,19,Offices
5.00E+15,1436,Offices
1.00E+12,17,Offices
1.00E+12,8,Offices
5.00E+15,1677,Offices
1.00E+12,96,Offices
1.00E+12,49,Offices
1.00E+12,1128,Offices
5.00E+15,100,Offices
1.00E+12,2510,Public Buildings
5.00E+15,5,Public Buildings
1.00E+12,41,Public Buildings
1.00E+12,1407,Public Buildings
1.00E+12,10,Public Buildings
1.00E+12,1911,Public Buildings
1.00E+15,928,Public Buildings
1.00E+12,34,Public Buildings
5.00E+15,138,Public Buildings
1.00E+15,34,Public Buildings
1.00E+15,1392,Public Buildings
1.00E+12,45,Public Buildings
1.00E+15,17,Public Buildings
1.00E+15,8,Public Buildings
1.00E+15,2684,Public Buildings
1.00E+12,123,Public Buildings
5.00E+15,9,Public Buildings
1.00E+12,9,Public Buildings
5.00E+15,7,Public Buildings
1.00E+12,563,Public Buildings
1.00E+12,2836,Public Buildings
1.00E+12,128,Public Buildings
1.00E+12,31,Public Buildings
1.00E+15,18,Public Buildings
5.00E+15,9,Public Buildings
1.00E+12,111,Public Buildings
5.00E+15,6,Public Buildings
1.00E+12,9,Public Buildings
1.00E+15,486,Public Buildings
1.00E+12,1073,Public Buildings
1.00E+12,77,Public Buildings
1.00E+15,15,Public Buildings
5.00E+15,6,Public Buildings
1.00E+12,10,Public Buildings
1.00E+12,8,Public Buildings
1.00E+15,9,Public Buildings
5.00E+15,27,Public Buildings
1.00E+12,44,Public Buildings
1.00E+12,60,Public Buildings
1.00E+12,45,Public Buildings
1.00E+12,1188,Public Buildings
1.00E+12,62,Public Buildings
1.00E+12,2,Public Buildings
1.00E+12,219,Public Buildings
1.00E+12,64,Public Buildings
1.00E+12,21,Public Buildings
1.00E+12,8,Public Buildings
1.00E+12,372,Public Buildings
1.00E+12,149,Public Buildings
5.00E+15,21,Public Buildings
5.00E+15,23,Public Buildings
5.00E+15,26,Public Buildings
1.00E+12,20,Public Buildings
1.00E+12,45,Public Buildings
5.00E+15,17,Public Buildings
1.00E+12,786,Public Buildings
1.00E+12,69,Public Buildings
1.00E+12,29,Public Buildings
1.00E+12,70,Public Buildings
1.00E+12,1182,Public Buildings
1.00E+15,15,Public Buildings
1.00E+12,43,Public Buildings
1.00E+12,552,Public Buildings
1.00E+12,2594,Public Buildings
1.00E+12,61,Public Buildings
1.00E+12,17192,Public Buildings
1.00E+12,69,Public Buildings
5.00E+15,17,Public Buildings
5.00E+15,17,Public Buildings
1.00E+12,6,Public Buildings
5.00E+15,25,Public Buildings
1.00E+12,25,Public Buildings
1.00E+12,25957,Public Buildings
1.00E+12,18,Public Buildings
5.00E+15,12,Public Buildings
1.00E+12,381,Public Buildings
1.00E+12,9,Public Buildings
1.00E+12,169,Public Buildings
5.00E+15,386,Public Buildings
5.00E+15,19,Public Buildings
5.00E+15,20,Public Buildings
1.00E+12,151,Public Buildings
5.00E+15,9,Public Buildings
1.00E+15,17,Public Buildings
1.00E+12,96,Public Buildings
1.00E+12,100,Public Buildings
1.00E+12,2527,Public Buildings
5.00E+15,17,Public Buildings
1.00E+12,69,Public Buildings
1.00E+12,39,Public Buildings
1.00E+12,1602,Public Buildings
1.00E+12,63,Public Buildings
1.00E+12,166,Public Buildings
1.00E+12,6886,Public Buildings
1.00E+15,38,Public Buildings
1.00E+12,69,Public Buildings
1.00E+12,87,Public Buildings
1.00E+12,19,Public Buildings
1.00E+12,35,Public Buildings
1.00E+12,28,Public Buildings
1.00E+12,95,Public Buildings
5.00E+15,13,Public Buildings
1.00E+12,20,Public Buildings
5.00E+15,17,Public Buildings
5.00E+15,6,Public Buildings
5.00E+15,7,Public Buildings
1.00E+12,11,Public Buildings
1.00E+12,20,Public Buildings
1.00E+12,41,Public Buildings
1.00E+12,21,Public Buildings
5.00E+15,13,Public Buildings
5.00E+15,697,Public Buildings
5.00E+15,689,Public Buildings
1.00E+15,1621,Public Buildings
5.00E+15,21,Public Buildings
